prefix,Code,Description
Icd10Code,A183,Tuberculosis of intestines peritoneum and mesenteric glands
Icd10Code,A184,Tuberculosis of skin and subcutaneous tissue
Icd10Code,A185,Tuberculosis of eye
Icd10Code,A186,Tuberculosis of ear
Icd10Code,A187,Tuberculosis of adrenal glands
Icd10Code,A188,Tuberculosis of other specified organs
Icd10Code,A19,Miliary tuberculosis
Icd10Code,A190,Acute miliary tuberculosis of a single specified site
Icd10Code,A191,Acute miliary tuberculosis of multiple sites
Icd10Code,A192,Acute miliary tuberculosis unspecified
Icd10Code,A198,Other miliary tuberculosis
Icd10Code,A199,Miliary tuberculosis unspecified
Icd10Code,A20,Plague
Icd10Code,A200,Bubonic plague
Icd10Code,A201,Cellulocutaneous plague
Icd10Code,A202,Pneumonic plague
Icd10Code,A203,Plague meningitis
Icd10Code,A207,Septicaemic plague
Icd10Code,A208,Other forms of plague
Icd10Code,A209,Plague unspecified
Icd10Code,A21,Tularaemia
Icd10Code,A210,Ulceroglandular tularaemia
Icd10Code,A211,Oculoglandular tularaemia
Icd10Code,A212,Pulmonary tularaemia
Icd10Code,A213,Gastrointestinal tularaemia
Icd10Code,A217,Generalized tularaemia
Icd10Code,A218,Other forms of tularaemia
Icd10Code,A219,Tularaemia unspecified
Icd10Code,A22,Anthrax
Icd10Code,A220,Cutaneous anthrax
Icd10Code,A221,Pulmonary anthrax
Icd10Code,A222,Gastrointestinal anthrax
Icd10Code,A227,Anthrax sepsis
Icd10Code,A228,Other forms of anthrax
Icd10Code,A229,Anthrax unspecified
Icd10Code,A23,Brucellosis
Icd10Code,A230,Brucellosis due to Brucella melitensis
Icd10Code,A231,Brucellosis due to Brucella abortus
Icd10Code,A232,Brucellosis due to Brucella suis
Icd10Code,A233,Brucellosis due to Brucella canis
Icd10Code,A238,Other brucellosis
Icd10Code,A239,Brucellosis unspecified
Icd10Code,A24,Glanders and melioidosis
Icd10Code,A240,Glanders
Icd10Code,A241,Acute and fulminating melioidosis
Icd10Code,A242,Subacute and chronic melioidosis
Icd10Code,A243,Other melioidosis
Icd10Code,A244,Melioidosis, unspecified
Icd10Code,A25,Rat-bite fevers
Icd10Code,A250,Spirillosis
Icd10Code,A251,Streptobacillosis
Icd10Code,A259,Rat-bite fever unspecified
Icd10Code,A26,Erysipeloid
Icd10Code,A260,Cutaneous erysipeloid
Icd10Code,A267,Erysipelothrix sepsis
Icd10Code,A268,Other forms of erysipeloid
Icd10Code,A269,Erysipeloid unspecified
Icd10Code,A27,Leptospirosis
Icd10Code,A270,Leptospirosis icterohaemorrhagica
Icd10Code,A278,Other forms of leptospirosis
Icd10Code,A279,Leptospirosis unspecified
Icd10Code,A28,Other zoonotic bacterial diseases not elsewhere classified
Icd10Code,A280,Pasteurellosis
Icd10Code,A281,Cat-scratch disease
Icd10Code,A282,Extraintestinal yersiniosis
Icd10Code,A288,"Other specified zoonotic bacterial diseases not elsewhere classified"
Icd10Code,A289,"Zoonotic bacterial disease, unspecified"
Icd10Code,A30,Leprosy [Hansen disease]
Icd10Code,A300,Indeterminate leprosy
Icd10Code,A301,Tuberculoid leprosy
Icd10Code,A302,Borderline tuberculoid leprosy
Icd10Code,A303,Borderline leprosy
Icd10Code,A304,Borderline lepromatous leprosy
Icd10Code,A305,Lepromatous leprosy
Icd10Code,A308,Other forms of leprosy
Icd10Code,A309,"Leprosy, unspecified"
Icd10Code,A31,Infection due to other mycobacteria
Icd10Code,A310,Pulmonary mycobacterial infection
Icd10Code,A311,Cutaneous mycobacterial infection
Icd10Code,A318,Other mycobacterial infections
Icd10Code,A319,"Mycobacterial infection, unspecified"
Icd10Code,A32,Listeriosis
Icd10Code,A320,Cutaneous listeriosis
Icd10Code,A321,Listerial meningitis and meningoencephalitis
Icd10Code,A327,Listerial sepsis
Icd10Code,A328,Other forms of listeriosis
Icd10Code,A329,"Listeriosis, unspecified"
Icd10Code,A33,Tetanus neonatorum
Icd10Code,A34,Obstetrical tetanus
Icd10Code,A35,Other tetanus
Icd10Code,A36,Diphtheria
Icd10Code,A360,Pharyngeal diphtheria
Icd10Code,A361,Nasopharyngeal diphtheria
Icd10Code,A362,Laryngeal diphtheria
Icd10Code,A363,Cutaneous diphtheria
Icd10Code,A368,Other diphtheria
Icd10Code,A369,"Diphtheria, unspecified"
Icd10Code,A37,Whooping cough
Icd10Code,A370,Whooping cough due to Bordetella pertussis
Icd10Code,A371,Whooping cough due to Bordetella parapertussis
Icd10Code,A378,Whooping cough due to other Bordetella species
Icd10Code,A379,"Whooping cough, unspecified"
Icd10Code,A38,Scarlet fever
Icd10Code,A39,Meningococcal infection
Icd10Code,A390,Meningococcal meningitis
Icd10Code,A391,Waterhouse-Friderichsen syndrome
Icd10Code,A392,Acute meningococcaemia
Icd10Code,A393,Chronic meningococcaemia
Icd10Code,A394,"Meningococcaemia, unspecified"
Icd10Code,A395,Meningococcal heart disease
Icd10Code,A398,Other meningococcal infections
Icd10Code,A399,"Meningococcal infection, unspecified"
Icd10Code,A40,Streptococcal sepsis
Icd10Code,A400,"Sepsis due to streptococcus, group A"
Icd10Code,A401,"Sepsis due to streptococcus, group B"
Icd10Code,A402,"Sepsis due to streptococcus, group D"
Icd10Code,A403,Sepsis due to Streptococcus pneumoniae
Icd10Code,A408,Other streptococcal sepsis
Icd10Code,A409,"Streptococcal sepsis, unspecified"
Icd10Code,A41,Other sepsis
Icd10Code,A410,Sepsis due to Staphylococcus aureus
Icd10Code,A411,Sepsis due to other specified staphylococcus
Icd10Code,A412,Sepsis due to unspecified staphylococcus
Icd10Code,A413,Sepsis due to Haemophilus influenzae
Icd10Code,A414,Sepsis due to anaerobes
Icd10Code,A415,Sepsis due to other Gram-negative organisms
Icd10Code,A418,Other specified sepsis
Icd10Code,A419,"Sepsis, unspecified"
Icd10Code,A42,Actinomycosis
Icd10Code,A420,Pulmonary actinomycosis
Icd10Code,A421,Abdominal actinomycosis
Icd10Code,A422,Cervicofacial actinomycosis
Icd10Code,A427,Actinomycotic sepsis
Icd10Code,A428,Other forms of actinomycosis
Icd10Code,A429,"Actinomycosis, unspecified"
Icd10Code,A43,Nocardiosis
Icd10Code,A430,Pulmonary nocardiosis
Icd10Code,A431,Cutaneous nocardiosis
Icd10Code,A438,Other forms of nocardiosis
Icd10Code,A439,"Nocardiosis, unspecified"
Icd10Code,A44,Bartonellosis
Icd10Code,A440,Systemic bartonellosis
Icd10Code,A441,Cutaneous and mucocutaneous bartonellosis
Icd10Code,A448,Other forms of bartonellosis
Icd10Code,A449,"Bartonellosis, unspecified"
Icd10Code,A46,Erysipelas
Icd10Code,A48,"Other bacterial diseases, not elsewhere classified"
Icd10Code,A480,Gas gangrene
Icd10Code,A481,Legionnaires disease
Icd10Code,A482,Nonpneumonic Legionnaires disease [Pontiac fever]
Icd10Code,A483,Toxic shock syndrome
Icd10Code,A484,Brazilian purpuric fever
Icd10Code,A488,Other specified bacterial diseases
Icd10Code,A49,Bacterial infection of unspecified site
Icd10Code,A490,"Staphylococcal infection, unspecified site"
Icd10Code,A491,"Streptococcal infection, unspecified site"
Icd10Code,A492,"Haemophilus influenzae infection, unspecified site"
Icd10Code,A493,"Mycoplasma infection, unspecified site"
Icd10Code,A498,Other bacterial infections of unspecified site
Icd10Code,A499,"Bacterial infection, unspecified"
Icd10Code,A50,Congenital syphilis
Icd10Code,A500,"Early congenital syphilis, symptomatic"
Icd10Code,A501,"Early congenital syphilis, latent"
Icd10Code,A502,"Early congenital syphilis, unspecified"
Icd10Code,A503,Late congenital syphilitic oculopathy
Icd10Code,A504,Late congenital neurosyphilis [juvenile neurosyphilis]
Icd10Code,A505,"Other late congenital syphilis, symptomatic"
Icd10Code,A506,"Late congenital syphilis, latent"
Icd10Code,A507,"Late congenital syphilis, unspecified"
Icd10Code,A509,"Congenital syphilis, unspecified"
Icd10Code,A51,Early syphilis
Icd10Code,A510,Primary genital syphilis
Icd10Code,A511,Primary anal syphilis
Icd10Code,A512,Primary syphilis of other sites
Icd10Code,A513,Secondary syphilis of skin and mucous membranes
Icd10Code,A514,Other secondary syphilis
Icd10Code,A515,"Early syphilis, latent"
Icd10Code,A519,"Early syphilis, unspecified"
Icd10Code,A52,Late syphilis
Icd10Code,A520,Cardiovascular syphilis
Icd10Code,A521,Symptomatic neurosyphilis
Icd10Code,A522,Asymptomatic neurosyphilis
Icd10Code,A523,"Neurosyphilis, unspecified"
Icd10Code,A527,Other symptomatic late syphilis
Icd10Code,A528,"Late syphilis, latent"
Icd10Code,A529,"Late syphilis, unspecified"
Icd10Code,A53,Other and unspecified syphilis
Icd10Code,A530,"Latent syphilis, unspecified as early or late"
Icd10Code,A539,"Syphilis, unspecified"
Icd10Code,A54,Gonococcal infection
Icd10Code,A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
Icd10Code,A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
Icd10Code,A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
Icd10Code,A543,Gonococcal infection of eye
Icd10Code,A544,Gonococcal infection of musculoskeletal system
Icd10Code,A545,Gonococcal pharyngitis
Icd10Code,A546,Gonococcal infection of anus and rectum
Icd10Code,A548,Other gonococcal infections
Icd10Code,A549,"Gonococcal infection, unspecified"
Icd10Code,A55,Chlamydial lymphogranuloma (venereum)
Icd10Code,A56,Other sexually transmitted chlamydial diseases
Icd10Code,A560,Chlamydial infection of lower genitourinary tract
Icd10Code,A561,Chlamydial infection of pelviperitoneum and other genitourinary organs
Icd10Code,A562,"Chlamydial infection of genitourinary tract, unspecified"
Icd10Code,A563,Chlamydial infection of anus and rectum
Icd10Code,A564,Chlamydial infection of pharynx
Icd10Code,A568,Sexually transmitted chlamydial infection of other sites
Icd10Code,A57,Chancroid
Icd10Code,A58,Granuloma inguinale
Icd10Code,A59,Trichomoniasis
Icd10Code,A590,Urogenital trichomoniasis
Icd10Code,A598,Trichomoniasis of other sites
Icd10Code,A599,"Trichomoniasis, unspecified"
Icd10Code,A60,Anogenital herpesviral [herpes simplex] infection
Icd10Code,A600,Herpesviral infection of genitalia and urogenital tract
Icd10Code,A601,Herpesviral infection of perianal skin and rectum
Icd10Code,A609,"Anogenital herpesviral infection, unspecified"
Icd10Code,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
Icd10Code,A630,Anogenital (venereal) warts
Icd10Code,A638,Other specified predominantly sexually transmitted diseases
Icd10Code,A64,Unspecified sexually transmitted disease
Icd10Code,A65,Nonvenereal syphilis
Icd10Code,A66,Yaws
Icd10Code,A660,Initial lesions of yaws
Icd10Code,A661,Multiple papillomata and wet crab yaws
Icd10Code,A662,Other early skin lesions of yaws
Icd10Code,A663,Hyperkeratosis of yaws
Icd10Code,A664,Gummata and ulcers of yaws
Icd10Code,A665,Gangosa
Icd10Code,A666,Bone and joint lesions of yaws
Icd10Code,A667,Other manifestations of yaws
Icd10Code,A668,Latent yaws
Icd10Code,A669,"Yaws, unspecified"
Icd10Code,A67,Pinta [carate]
Icd10Code,A670,Primary lesions of pinta
Icd10Code,A671,Intermediate lesions of pinta
Icd10Code,A672,Late lesions of pinta
Icd10Code,A673,Mixed lesions of pinta
Icd10Code,A679,"Pinta, unspecified"
Icd10Code,A68,Relapsing fevers
Icd10Code,A680,Louse-borne relapsing fever
Icd10Code,A681,Tick-borne relapsing fever
Icd10Code,A689,"Relapsing fever, unspecified"
Icd10Code,A69,Other spirochaetal infections
Icd10Code,A690,Necrotizing ulcerative stomatitis
Icd10Code,A691,Other Vincent infections
Icd10Code,A692,Lyme disease
Icd10Code,A698,Other specified spirochaetal infections
Icd10Code,A699,"Spirochaetal infection, unspecified"
Icd10Code,A70,Chlamydia psittaci infection
Icd10Code,A71,Trachoma
Icd10Code,A710,Initial stage of trachoma
Icd10Code,A711,Active stage of trachoma
Icd10Code,A719,"Trachoma, unspecified"
Icd10Code,A74,Other diseases caused by chlamydiae
Icd10Code,A740,Chlamydial conjunctivitis
Icd10Code,A748,Other chlamydial diseases
Icd10Code,A749,"Chlamydial infection, unspecified"
Icd10Code,A75,Typhus fever
Icd10Code,A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
Icd10Code,A751,Recrudescent typhus [Brill disease]
Icd10Code,A752,Typhus fever due to Rickettsia typhi
Icd10Code,A753,Typhus fever due to Rickettsia tsutsugamushi
Icd10Code,A759,"Typhus fever, unspecified"
Icd10Code,A77,Spotted fever [tick-borne rickettsioses]
Icd10Code,A770,Spotted fever due to Rickettsia rickettsii
Icd10Code,A771,Spotted fever due to Rickettsia conorii
Icd10Code,A772,Spotted fever due to Rickettsia sibirica
Icd10Code,A773,Spotted fever due to Rickettsia australis
Icd10Code,A778,Other spotted fevers
Icd10Code,A779,"Spotted fever, unspecified"
Icd10Code,A78,Q fever
Icd10Code,A79,Other rickettsioses
Icd10Code,A790,Trench fever
Icd10Code,A791,Rickettsialpox due to Rickettsia akari
Icd10Code,A798,Other specified rickettsioses
Icd10Code,A799,"Rickettsiosis, unspecified"
Icd10Code,A80,Acute poliomyelitis
Icd10Code,A800,"Acute paralytic poliomyelitis, vaccine-associated"
Icd10Code,A801,"Acute paralytic poliomyelitis, wild virus, imported"
Icd10Code,A802,"Acute paralytic poliomyelitis, wild virus, indigenous"
Icd10Code,A803,"Acute paralytic poliomyelitis, other and unspecified"
Icd10Code,A804,Acute nonparalytic poliomyelitis
Icd10Code,A809,"Acute poliomyelitis, unspecified"
Icd10Code,A81,Atypical virus infections of central nervous system
Icd10Code,A810,Creutzfeldt-Jakob disease
Icd10Code,A811,Subacute sclerosing panencephalitis
Icd10Code,A812,Progressive multifocal leukoencephalopathy
Icd10Code,A818,Other atypical virus infections of central nervous system
Icd10Code,A819,"Atypical virus infection of central nervous system, unspecified"
Icd10Code,A82,Rabies
Icd10Code,A820,Sylvatic rabies
Icd10Code,A821,Urban rabies
Icd10Code,A829,"Rabies, unspecified"
Icd10Code,A83,Mosquito-borne viral encephalitis
Icd10Code,A830,Japanese encephalitis
Icd10Code,A831,Western equine encephalitis
Icd10Code,A832,Eastern equine encephalitis
Icd10Code,A833,St Louis encephalitis
Icd10Code,A834,Australian encephalitis
Icd10Code,A835,California encephalitis
Icd10Code,A836,Rocio virus disease
Icd10Code,A838,Other mosquito-borne viral encephalitis
Icd10Code,A839,"Mosquito-borne viral encephalitis, unspecified"
Icd10Code,A84,Tick-borne viral encephalitis
Icd10Code,A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
Icd10Code,A841,Central European tick-borne encephalitis
Icd10Code,A848,Other tick-borne viral encephalitis
Icd10Code,A849,"Tick-borne viral encephalitis, unspecified"
Icd10Code,A85,"Other viral encephalitis, not elsewhere classified"
Icd10Code,A850,Enteroviral encephalitis
Icd10Code,A851,Adenoviral encephalitis
Icd10Code,A852,"Arthropod-borne viral encephalitis, unspecified"
Icd10Code,A858,Other specified viral encephalitis
Icd10Code,A86,Unspecified viral encephalitis
Icd10Code,A87,Viral meningitis
Icd10Code,A870,Enteroviral meningitis
Icd10Code,A871,Adenoviral meningitis
Icd10Code,A872,Lymphocytic choriomeningitis
Icd10Code,A878,Other viral meningitis
Icd10Code,A879,"Viral meningitis, unspecified"
Icd10Code,A88,"Other viral infections of central nervous system, not elsewhere classified"
Icd10Code,A880,Enteroviral exanthematous fever [Boston exanthem]
Icd10Code,A881,Epidemic vertigo
Icd10Code,A888,Other specified viral infections of central nervous system
Icd10Code,A89,Unspecified viral infection of central nervous system
Icd10Code,A90,Dengue fever [classical dengue]
Icd10Code,A91,Dengue haemorrhagic fever
Icd10Code,A92,Other mosquito-borne viral fevers
Icd10Code,A920,Chikungunya virus disease
Icd10Code,A921,O'nyong-nyong fever
Icd10Code,A922,Venezuelan equine fever
Icd10Code,A923,West Nile virus infection
Icd10Code,A924,Rift Valley fever
Icd10Code,A928,Other specified mosquito-borne viral fevers
Icd10Code,A929,"Mosquito-borne viral fever, unspecified"
Icd10Code,A93,"Other arthropod-borne viral fevers, not elsewhere classified"
Icd10Code,A930,Oropouche virus disease
Icd10Code,A931,Sandfly fever
Icd10Code,A932,Colorado tick fever
Icd10Code,A938,Other specified arthropod-borne viral fevers
Icd10Code,A94,Unspecified arthropod-borne viral fever
Icd10Code,A95,Yellow fever
Icd10Code,A950,Sylvatic yellow fever
Icd10Code,A951,Urban yellow fever
Icd10Code,A959,"Yellow fever, unspecified"
Icd10Code,A96,Arenaviral haemorrhagic fever
Icd10Code,A960,Junin haemorrhagic fever
Icd10Code,A961,Machupo haemorrhagic fever
Icd10Code,A962,Lassa fever
Icd10Code,A968,Other arenaviral haemorrhagic fevers
Icd10Code,A969,"Arenaviral haemorrhagic fever, unspecified"
Icd10Code,A98,"Other viral haemorrhagic fevers, not elsewhere classified"
Icd10Code,A980,Crimean-Congo haemorrhagic fever
Icd10Code,A981,Omsk haemorrhagic fever
Icd10Code,A982,Kyasanur Forest disease
Icd10Code,A983,Marburg virus disease
Icd10Code,A984,Ebola virus disease
Icd10Code,A985,Haemorrhagic fever with renal syndrome
Icd10Code,A988,Other specified viral haemorrhagic fevers
Icd10Code,A99,Unspecified viral haemorrhagic fever
Icd10Code,B00,Herpesviral [herpes simplex] infections
Icd10Code,B000,Eczema herpeticum
Icd10Code,B001,Herpesviral vesicular dermatitis
Icd10Code,B002,Herpesviral gingivostomatitis and pharyngotonsillitis
Icd10Code,B003,Herpesviral meningitis
Icd10Code,B004,Herpesviral encephalitis
Icd10Code,B005,Herpesviral ocular disease
Icd10Code,B007,Disseminated herpesviral disease
Icd10Code,B008,Other forms of herpesviral infection
Icd10Code,B009,"Herpesviral infection, unspecified"
Icd10Code,B01,Varicella [chickenpox]
Icd10Code,B010,Varicella meningitis
Icd10Code,B011,Varicella encephalitis
Icd10Code,B012,Varicella pneumonia
Icd10Code,B018,Varicella with other complications
Icd10Code,B019,Varicella without complication
Icd10Code,B02,Zoster [herpes zoster]
Icd10Code,B020,Zoster encephalitis
Icd10Code,B021,Zoster meningitis
Icd10Code,B022,Zoster with other nervous system involvement
Icd10Code,B023,Zoster ocular disease
Icd10Code,B027,Disseminated zoster
Icd10Code,B028,Zoster with other complications
Icd10Code,B029,Zoster without complication
Icd10Code,B03,Smallpox
Icd10Code,B04,Monkeypox
Icd10Code,B05,Measles
Icd10Code,B050,Measles complicated by encephalitis
Icd10Code,B051,Measles complicated by meningitis
Icd10Code,B052,Measles complicated by pneumonia
Icd10Code,B053,Measles complicated by otitis media
Icd10Code,B054,Measles with intestinal complications
Icd10Code,B058,Measles with other complications
Icd10Code,B059,Measles without complication
Icd10Code,B06,Rubella [German measles]
Icd10Code,B060,Rubella with neurological complications
Icd10Code,B068,Rubella with other complications
Icd10Code,B069,Rubella without complication
Icd10Code,B07,Viral warts
Icd10Code,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
Icd10Code,B080,Other orthopoxvirus infections
Icd10Code,B081,Molluscum contagiosum
Icd10Code,B082,Exanthema subitum [sixth disease]
Icd10Code,B083,Erythema infectiosum [fifth disease]
Icd10Code,B084,Enteroviral vesicular stomatitis with exanthem
Icd10Code,B085,Enteroviral vesicular pharyngitis
Icd10Code,B088,Other specified viral infections characterized by skin and mucous membrane lesions
Icd10Code,B09,Unspecified viral infection characterized by skin and mucous membrane lesions
Icd10Code,B15,Acute hepatitis A
Icd10Code,B150,Hepatitis A with hepatic coma
Icd10Code,B159,Hepatitis A without hepatic coma
Icd10Code,B16,Acute hepatitis B
Icd10Code,B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma
Icd10Code,B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
Icd10Code,B162,Acute hepatitis B without delta-agent with hepatic coma
Icd10Code,B169,Acute hepatitis B without delta-agent and without hepatic coma
Icd10Code,B17,Other acute viral hepatitis
Icd10Code,B170,Acute delta-(super)infection of hepatitis B carrier
Icd10Code,B171,Acute hepatitis C
Icd10Code,B172,Acute hepatitis E
Icd10Code,B178,Other specified acute viral hepatitis
Icd10Code,B179,"Acute viral hepatitis, unspecified"
Icd10Code,B18,Chronic viral hepatitis
Icd10Code,B180,Chronic viral hepatitis B with delta-agent
Icd10Code,B181,Chronic viral hepatitis B without delta-agent
Icd10Code,B182,Chronic viral hepatitis C
Icd10Code,B188,Other chronic viral hepatitis
Icd10Code,B189,"Chronic viral hepatitis, unspecified"
Icd10Code,B19,Unspecified viral hepatitis
Icd10Code,B190,Unspecified viral hepatitis with hepatic coma
Icd10Code,B199,Unspecified viral hepatitis without hepatic coma
Icd10Code,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
Icd10Code,B200,HIV disease resulting in mycobacterial infection
Icd10Code,B201,HIV disease resulting in other bacterial infections
Icd10Code,B202,HIV disease resulting in cytomegaloviral disease
Icd10Code,B203,HIV disease resulting in other viral infections
Icd10Code,B204,HIV disease resulting in candidiasis
Icd10Code,B205,HIV disease resulting in other mycoses
Icd10Code,B206,HIV disease resulting in Pneumocystis jirovecii pneumonia
Icd10Code,B207,HIV disease resulting in multiple infections
Icd10Code,B208,HIV disease resulting in other infectious and parasitic diseases
Icd10Code,B209,HIV disease resulting in unspecified infectious or parasitic disease
Icd10Code,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
Icd10Code,B210,HIV disease resulting in Kaposi sarcoma
Icd10Code,B211,HIV disease resulting in Burkitt lymphoma
Icd10Code,B212,HIV disease resulting in other types of non-Hodgkin lymphoma
Icd10Code,B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
Icd10Code,B217,HIV disease resulting in multiple malignant neoplasms
Icd10Code,B218,HIV disease resulting in other malignant neoplasms
Icd10Code,B219,HIV disease resulting in unspecified malignant neoplasm
Icd10Code,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
Icd10Code,B220,HIV disease resulting in encephalopathy
Icd10Code,B221,HIV disease resulting in lymphoid interstitial pneumonitis
Icd10Code,B222,HIV disease resulting in wasting syndrome
Icd10Code,B227,HIV disease resulting in multiple diseases classified elsewhere
Icd10Code,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions
Icd10Code,B230,Acute HIV infection syndrome
Icd10Code,B231,HIV disease resulting in (persistent) generalized lymphadenopathy
Icd10Code,B232,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
Icd10Code,B238,HIV disease resulting in other specified conditions
